stepsize,val_type,binom_prob,sampler,model,mean_val,std_val
step 1,Leapfrog Steps,-,NUTS,arK,2219.1,75.82104970882014
step 1,Leapfrog Steps,-,NUTS,arma,921.5,46.1205514186235
step 1,Leapfrog Steps,-,NUTS,corr-normal,12181.6,335.55459199737714
step 1,Leapfrog Steps,-,NUTS,eight-schools,855.55,32.60364041669354
step 1,Leapfrog Steps,-,NUTS,garch,1245.2,78.67695442691422
step 1,Leapfrog Steps,-,NUTS,glmm-poisson,50344.8,508.45085670516056
step 1,Leapfrog Steps,-,NUTS,hmm,3736.3,278.92672118223743
step 1,Leapfrog Steps,-,NUTS,ill-normal,51087.2,57.243340223995574
step 1,Leapfrog Steps,-,NUTS,irt-2pl,6235.7,55.14774414434854
step 1,Leapfrog Steps,-,NUTS,lotka-volterra,2953.1,138.14633736120476
step 1,Leapfrog Steps,-,NUTS,normal,700.0,0.0
step 1,Leapfrog Steps,-,NUTS,normal-mixture,1134.9,53.14320276385316
step 1,Leapfrog Steps,-,NUTS,pkpd,1246.4,92.48977183849487
step 1,Leapfrog Steps,-,NUTS,prophet,77116.0,1611.010536082375
step 1,Leapfrog Steps,L,ST,arK,2351.4,117.94753516980154
step 1,Leapfrog Steps,L,ST,arma,1095.5,72.2841614740048
step 1,Leapfrog Steps,L,ST,corr-normal,8473.25,391.83117672363903
step 1,Leapfrog Steps,L,ST,eight-schools,1081.6,100.7808461334217
step 1,Leapfrog Steps,L,ST,garch,1629.25,294.1864562698826
step 1,Leapfrog Steps,L,ST,glmm-poisson,40289.85,475.7073707980343
step 1,Leapfrog Steps,L,ST,hmm,4524.55,668.7961277746126
step 1,Leapfrog Steps,L,ST,ill-normal,46594.0,1990.541106015358
step 1,Leapfrog Steps,L,ST,irt-2pl,4704.9,83.23897113605794
step 1,Leapfrog Steps,L,ST,lotka-volterra,3132.95,191.28195639449436
step 1,Leapfrog Steps,L,ST,normal,853.7,10.342044997815563
step 1,Leapfrog Steps,L,ST,normal-mixture,1253.0,56.09953560179303
step 1,Leapfrog Steps,L,ST,pkpd,1588.85,350.6364551557789
step 1,Leapfrog Steps,L,ST,prophet,74993.1,4228.743846083548
step 1,Leapfrog Steps,M,ST,arK,2424.65,91.9165954891487
step 1,Leapfrog Steps,M,ST,arma,1139.45,49.992078319838214
step 1,Leapfrog Steps,M,ST,corr-normal,8940.85,502.32850176374666
step 1,Leapfrog Steps,M,ST,eight-schools,1143.45,84.62329839694826
step 1,Leapfrog Steps,M,ST,garch,1643.8,152.16459232651573
step 1,Leapfrog Steps,M,ST,glmm-poisson,44256.25,553.0598021343086
step 1,Leapfrog Steps,M,ST,hmm,4811.8,510.3990801839592
step 1,Leapfrog Steps,M,ST,ill-normal,51576.6,860.1395480416319
step 1,Leapfrog Steps,M,ST,irt-2pl,5188.65,57.83759021696244
step 1,Leapfrog Steps,M,ST,lotka-volterra,3251.65,190.58228641386603
step 1,Leapfrog Steps,M,ST,normal,937.65,13.48790881532517
step 1,Leapfrog Steps,M,ST,normal-mixture,1293.05,50.27238961790795
step 1,Leapfrog Steps,M,ST,pkpd,1775.95,320.6213498817569
step 1,Leapfrog Steps,M,ST,prophet,78380.85,5745.979942762729
step 1,Leapfrog Steps,S,ST,arK,2591.15,106.39414061824434
step 1,Leapfrog Steps,S,ST,arma,1166.0,34.960127664466405
step 1,Leapfrog Steps,S,ST,corr-normal,9515.25,433.31851357924484
step 1,Leapfrog Steps,S,ST,eight-schools,1239.95,55.19389268273875
step 1,Leapfrog Steps,S,ST,garch,1748.55,201.65981647057836
step 1,Leapfrog Steps,S,ST,glmm-poisson,48844.05,935.4167365685895
step 1,Leapfrog Steps,S,ST,hmm,5247.35,338.322374293171
step 1,Leapfrog Steps,S,ST,ill-normal,56663.45,613.4308587127408
step 1,Leapfrog Steps,S,ST,irt-2pl,5697.35,105.12212196448371
step 1,Leapfrog Steps,S,ST,lotka-volterra,3494.9,174.4874901261586
step 1,Leapfrog Steps,S,ST,normal,1025.3,15.166097926486888
step 1,Leapfrog Steps,S,ST,normal-mixture,1372.7,58.30148504021776
step 1,Leapfrog Steps,S,ST,pkpd,1982.6,297.1312664020469
step 1,Leapfrog Steps,S,ST,prophet,86740.05,5038.2828160208055
step 1,MSJD,-,NUTS,arK,0.05083456751357039,0.007822817893789073
step 1,MSJD,-,NUTS,arma,0.005911336876235963,0.001034511866429547
step 1,MSJD,-,NUTS,corr-normal,553.0016668950249,39.99906408122767
step 1,MSJD,-,NUTS,eight-schools,465.7151625818348,63.74622567630095
step 1,MSJD,-,NUTS,garch,0.47837949015449643,0.10230568508447534
step 1,MSJD,-,NUTS,glmm-poisson,0.34871707506075306,0.035677554815023944
step 1,MSJD,-,NUTS,hmm,0.1358494300764335,0.023911540849641474
step 1,MSJD,-,NUTS,ill-normal,51953.76806489464,2370.5163843507407
step 1,MSJD,-,NUTS,irt-2pl,96.89382560619431,5.357834645655186
step 1,MSJD,-,NUTS,lotka-volterra,17.927905325845785,3.268415371936191
step 1,MSJD,-,NUTS,normal,260.3598829244351,15.241973828314487
step 1,MSJD,-,NUTS,normal-mixture,0.014251042152819698,0.0026623622185048485
step 1,MSJD,-,NUTS,pkpd,8.6458794506931,10.049853765916403
step 1,MSJD,-,NUTS,prophet,0.430310297855885,0.026956241209545723
step 1,MSJD,L,ST,arK,0.04805545311506933,0.021462724978917457
step 1,MSJD,L,ST,arma,0.007163751698212234,0.003225147654322337
step 1,MSJD,L,ST,corr-normal,129.41350738473568,56.23750383936532
step 1,MSJD,L,ST,eight-schools,292.5975537224696,66.58886186884416
step 1,MSJD,L,ST,garch,0.3917682334607303,0.24627871113765565
step 1,MSJD,L,ST,glmm-poisson,0.07904046278595865,0.02548483447080289
step 1,MSJD,L,ST,hmm,0.06146978204440216,0.023956681725151033
step 1,MSJD,L,ST,ill-normal,14463.314512231776,4392.3650508748815
step 1,MSJD,L,ST,irt-2pl,69.96265651073952,7.779249272800646
step 1,MSJD,L,ST,lotka-volterra,11.107180776325448,9.682838748266633
step 1,MSJD,L,ST,normal,243.6690727938015,41.0872408764992
step 1,MSJD,L,ST,normal-mixture,0.009787540515124841,0.002130677189236268
step 1,MSJD,L,ST,pkpd,10.58903117660067,34.107315422403516
step 1,MSJD,L,ST,prophet,0.042611218047746216,0.02448766931615328
step 1,MSJD,M,ST,arK,0.029415240339033543,0.007812021840824774
step 1,MSJD,M,ST,arma,0.005549664846457751,0.0016024384654001636
step 1,MSJD,M,ST,corr-normal,139.45776576745502,34.0573424841176
step 1,MSJD,M,ST,eight-schools,302.54667426920724,69.8442161958721
step 1,MSJD,M,ST,garch,0.26852595236812093,0.08002232465787619
step 1,MSJD,M,ST,glmm-poisson,0.1126504799718127,0.024852572351939904
step 1,MSJD,M,ST,hmm,0.059116592073393294,0.025886451682753643
step 1,MSJD,M,ST,ill-normal,18351.72385780175,4505.542798985338
step 1,MSJD,M,ST,irt-2pl,65.70568258412284,5.979164066084248
step 1,MSJD,M,ST,lotka-volterra,8.145024828000455,3.426756719224873
step 1,MSJD,M,ST,normal,242.52512300666484,24.106712993577517
step 1,MSJD,M,ST,normal-mixture,0.011731189224650466,0.0027523720186606346
step 1,MSJD,M,ST,pkpd,3.250404945568257,3.851772611194498
step 1,MSJD,M,ST,prophet,0.05643963561892344,0.028226389261517666
step 1,MSJD,S,ST,arK,0.026006269155457517,0.004120357535800701
step 1,MSJD,S,ST,arma,0.004300151456339804,0.0005876983811846453
step 1,MSJD,S,ST,corr-normal,127.67153683762331,18.88518059164521
step 1,MSJD,S,ST,eight-schools,275.55423403537003,45.43791713142096
step 1,MSJD,S,ST,garch,0.2724718987222897,0.09999794870181127
step 1,MSJD,S,ST,glmm-poisson,0.13215814965114775,0.024222758887600112
step 1,MSJD,S,ST,hmm,0.04203667148760791,0.016703726035860136
step 1,MSJD,S,ST,ill-normal,18661.6170305858,2524.291717832234
step 1,MSJD,S,ST,irt-2pl,53.666941604969736,6.446895805352747
step 1,MSJD,S,ST,lotka-volterra,6.461806991573782,1.9126643832276082
step 1,MSJD,S,ST,normal,191.11008482535686,13.612557870063867
step 1,MSJD,S,ST,normal-mixture,0.009878745740333827,0.0024110008935650873
