model,sampler,stepsize,binom_prob,val_type,val
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.07929023711210706
normal,NUTS,step 1,-,RMSE (param sq),0.21026279824862446
normal,NUTS,step 1,-,MSJD,269.90505948853945
normal,ST,step 1,S,Leapfrog Steps,1049.0
normal,ST,step 1,S,RMSE (param),0.11912742642694207
normal,ST,step 1,S,RMSE (param sq),0.21845756637032468
normal,ST,step 1,S,MSJD,191.3708935948251
normal,ST,step 1,M,Leapfrog Steps,908.0
normal,ST,step 1,M,RMSE (param),0.10200595601394304
normal,ST,step 1,M,RMSE (param sq),0.31032465522848984
normal,ST,step 1,M,MSJD,235.5304947468947
normal,ST,step 1,L,Leapfrog Steps,845.0
normal,ST,step 1,L,RMSE (param),0.06871053436185062
normal,ST,step 1,L,RMSE (param sq),0.39643575952642757
normal,ST,step 1,L,MSJD,300.8226979553015
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.07699424632796831
normal,NUTS,step 1,-,RMSE (param sq),0.230641139960329
normal,NUTS,step 1,-,MSJD,265.3414763359595
normal,ST,step 1,S,Leapfrog Steps,1026.0
normal,ST,step 1,S,RMSE (param),0.10263079455760805
normal,ST,step 1,S,RMSE (param sq),0.233205718776647
normal,ST,step 1,S,MSJD,192.33769935080124
normal,ST,step 1,M,Leapfrog Steps,942.0
normal,ST,step 1,M,RMSE (param),0.07567063862368069
normal,ST,step 1,M,RMSE (param sq),0.31916934755446336
normal,ST,step 1,M,MSJD,243.37412402362594
normal,ST,step 1,L,Leapfrog Steps,861.0
normal,ST,step 1,L,RMSE (param),0.07150484723440338
normal,ST,step 1,L,RMSE (param sq),0.4682925912769955
normal,ST,step 1,L,MSJD,281.72416553076664
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.0670829736206657
normal,NUTS,step 1,-,RMSE (param sq),0.24195594815525853
normal,NUTS,step 1,-,MSJD,247.13400910005404
normal,ST,step 1,S,Leapfrog Steps,1022.0
normal,ST,step 1,S,RMSE (param),0.09201043527326526
normal,ST,step 1,S,RMSE (param sq),0.2045694881133093
normal,ST,step 1,S,MSJD,207.87350822289676
normal,ST,step 1,M,Leapfrog Steps,941.0
normal,ST,step 1,M,RMSE (param),0.07099763190507546
normal,ST,step 1,M,RMSE (param sq),0.27554248274697596
normal,ST,step 1,M,MSJD,268.5738145217376
normal,ST,step 1,L,Leapfrog Steps,852.0
normal,ST,step 1,L,RMSE (param),0.061952855794345604
normal,ST,step 1,L,RMSE (param sq),0.3649499546063322
normal,ST,step 1,L,MSJD,268.40179006864224
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.06386442849545212
normal,NUTS,step 1,-,RMSE (param sq),0.23693418296831903
normal,NUTS,step 1,-,MSJD,283.02675533625103
normal,ST,step 1,S,Leapfrog Steps,1063.0
normal,ST,step 1,S,RMSE (param),0.09261881473782761
normal,ST,step 1,S,RMSE (param sq),0.25264942280297203
normal,ST,step 1,S,MSJD,167.76671937534937
normal,ST,step 1,M,Leapfrog Steps,922.0
normal,ST,step 1,M,RMSE (param),0.07882298958233332
normal,ST,step 1,M,RMSE (param sq),0.29038669733951483
normal,ST,step 1,M,MSJD,273.89047829811847
normal,ST,step 1,L,Leapfrog Steps,860.0
normal,ST,step 1,L,RMSE (param),0.09808377325035111
normal,ST,step 1,L,RMSE (param sq),0.42666704003328
normal,ST,step 1,L,MSJD,172.59731647788448
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.07464218539306001
normal,NUTS,step 1,-,RMSE (param sq),0.198290701458493
normal,NUTS,step 1,-,MSJD,230.26440202878203
normal,ST,step 1,S,Leapfrog Steps,1040.0
normal,ST,step 1,S,RMSE (param),0.09836077897325723
normal,ST,step 1,S,RMSE (param sq),0.2314816778109472
normal,ST,step 1,S,MSJD,181.65728453000392
normal,ST,step 1,M,Leapfrog Steps,929.0
normal,ST,step 1,M,RMSE (param),0.07493721383467113
normal,ST,step 1,M,RMSE (param sq),0.2975723172515829
normal,ST,step 1,M,MSJD,228.11638576651717
normal,ST,step 1,L,Leapfrog Steps,853.0
normal,ST,step 1,L,RMSE (param),0.078335514360589
normal,ST,step 1,L,RMSE (param sq),0.453308812373577
normal,ST,step 1,L,MSJD,245.0561302191549
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.08137746939540325
normal,NUTS,step 1,-,RMSE (param sq),0.20358139213794726
normal,NUTS,step 1,-,MSJD,244.4692499529344
normal,ST,step 1,S,Leapfrog Steps,1029.0
normal,ST,step 1,S,RMSE (param),0.11512781977459961
normal,ST,step 1,S,RMSE (param sq),0.24089266294652012
normal,ST,step 1,S,MSJD,195.47983771266962
normal,ST,step 1,M,Leapfrog Steps,937.0
normal,ST,step 1,M,RMSE (param),0.07308829231389069
normal,ST,step 1,M,RMSE (param sq),0.2888857604103203
normal,ST,step 1,M,MSJD,298.19703546517553
normal,ST,step 1,L,Leapfrog Steps,848.0
normal,ST,step 1,L,RMSE (param),0.08628295803052026
normal,ST,step 1,L,RMSE (param sq),0.3684251906852662
normal,ST,step 1,L,MSJD,252.68724646521403
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.09401581950841936
normal,NUTS,step 1,-,RMSE (param sq),0.21286324660391373
normal,NUTS,step 1,-,MSJD,243.63745692398106
normal,ST,step 1,S,Leapfrog Steps,1019.0
normal,ST,step 1,S,RMSE (param),0.09048115941085066
normal,ST,step 1,S,RMSE (param sq),0.2155434260948037
normal,ST,step 1,S,MSJD,191.89691956532144
normal,ST,step 1,M,Leapfrog Steps,947.0
normal,ST,step 1,M,RMSE (param),0.07525141094957111
normal,ST,step 1,M,RMSE (param sq),0.281020284543432
normal,ST,step 1,M,MSJD,238.17255157235533
normal,ST,step 1,L,Leapfrog Steps,846.0
normal,ST,step 1,L,RMSE (param),0.06747752134781726
normal,ST,step 1,L,RMSE (param sq),0.4761479986229191
normal,ST,step 1,L,MSJD,260.47519100327634
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.07690262525844739
normal,NUTS,step 1,-,RMSE (param sq),0.21517389433809858
normal,NUTS,step 1,-,MSJD,256.5897223916866
normal,ST,step 1,S,Leapfrog Steps,1020.0
normal,ST,step 1,S,RMSE (param),0.10351809783845681
normal,ST,step 1,S,RMSE (param sq),0.22677598365875917
normal,ST,step 1,S,MSJD,182.90613239984074
normal,ST,step 1,M,Leapfrog Steps,955.0
normal,ST,step 1,M,RMSE (param),0.06916506162379678
normal,ST,step 1,M,RMSE (param sq),0.2852570563669069
normal,ST,step 1,M,MSJD,251.99387591735862
normal,ST,step 1,L,Leapfrog Steps,833.0
normal,ST,step 1,L,RMSE (param),0.07713033652730879
normal,ST,step 1,L,RMSE (param sq),0.4821230175951364
normal,ST,step 1,L,MSJD,281.8251430506739
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.07097050499746944
normal,NUTS,step 1,-,RMSE (param sq),0.19690491634092763
normal,NUTS,step 1,-,MSJD,240.91865869517056
normal,ST,step 1,S,Leapfrog Steps,1007.0
normal,ST,step 1,S,RMSE (param),0.09888018550842474
normal,ST,step 1,S,RMSE (param sq),0.26278598149019466
normal,ST,step 1,S,MSJD,187.88245069256982
normal,ST,step 1,M,Leapfrog Steps,959.0
