model,sampler,stepsize,binom_prob,val_type,val
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.07929023711210706
normal,NUTS,step 1,-,RMSE (param sq),0.21026279824862446
normal,NUTS,step 1,-,MSJD,269.90505948853945
normal,ST,step 1,S,Leapfrog Steps,1022.0
normal,ST,step 1,S,RMSE (param),0.10864311971270742
normal,ST,step 1,S,RMSE (param sq),0.24824019190405808
normal,ST,step 1,S,MSJD,196.9244462899412
normal,ST,step 1,M,Leapfrog Steps,919.0
normal,ST,step 1,M,RMSE (param),0.07147332567846681
normal,ST,step 1,M,RMSE (param sq),0.305862696225891
normal,ST,step 1,M,MSJD,265.0942256352909
normal,ST,step 1,L,Leapfrog Steps,825.0
normal,ST,step 1,L,RMSE (param),0.04803662670415845
normal,ST,step 1,L,RMSE (param sq),0.6564059135079763
normal,ST,step 1,L,MSJD,319.8586415846804
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.07699424632796831
normal,NUTS,step 1,-,RMSE (param sq),0.230641139960329
normal,NUTS,step 1,-,MSJD,265.3414763359595
normal,ST,step 1,S,Leapfrog Steps,1055.0
normal,ST,step 1,S,RMSE (param),0.1135958186152224
normal,ST,step 1,S,RMSE (param sq),0.2647426961068069
normal,ST,step 1,S,MSJD,177.30581291344876
normal,ST,step 1,M,Leapfrog Steps,922.0
normal,ST,step 1,M,RMSE (param),0.06607864364923202
normal,ST,step 1,M,RMSE (param sq),0.2790620304465059
normal,ST,step 1,M,MSJD,290.5056434749785
normal,ST,step 1,L,Leapfrog Steps,838.0
normal,ST,step 1,L,RMSE (param),0.04040281155999499
normal,ST,step 1,L,RMSE (param sq),0.5667049211224505
normal,ST,step 1,L,MSJD,338.83749532758713
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.0670829736206657
normal,NUTS,step 1,-,RMSE (param sq),0.24195594815525853
normal,NUTS,step 1,-,MSJD,247.13400910005404
normal,ST,step 1,S,Leapfrog Steps,1037.0
normal,ST,step 1,S,RMSE (param),0.12680512494821786
normal,ST,step 1,S,RMSE (param sq),0.26314631695270957
normal,ST,step 1,S,MSJD,193.55806074400144
normal,ST,step 1,M,Leapfrog Steps,930.0
normal,ST,step 1,M,RMSE (param),0.07737463752650209
normal,ST,step 1,M,RMSE (param sq),0.27443421667638573
normal,ST,step 1,M,MSJD,259.18005502047697
normal,ST,step 1,L,Leapfrog Steps,837.0
normal,ST,step 1,L,RMSE (param),0.05108580587535008
normal,ST,step 1,L,RMSE (param sq),0.6032068801350343
normal,ST,step 1,L,MSJD,335.4453535684912
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.06386442849545212
normal,NUTS,step 1,-,RMSE (param sq),0.23693418296831903
normal,NUTS,step 1,-,MSJD,283.02675533625103
normal,ST,step 1,S,Leapfrog Steps,1001.0
normal,ST,step 1,S,RMSE (param),0.08852966091052247
normal,ST,step 1,S,RMSE (param sq),0.2606230134318601
normal,ST,step 1,S,MSJD,189.71653180680357
normal,ST,step 1,M,Leapfrog Steps,903.0
normal,ST,step 1,M,RMSE (param),0.08057278812438504
normal,ST,step 1,M,RMSE (param sq),0.30489924785151323
normal,ST,step 1,M,MSJD,263.12570641276346
normal,ST,step 1,L,Leapfrog Steps,829.0
normal,ST,step 1,L,RMSE (param),0.053774239110083936
normal,ST,step 1,L,RMSE (param sq),0.7271143657505246
normal,ST,step 1,L,MSJD,258.0782125160546
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.07464218539306001
normal,NUTS,step 1,-,RMSE (param sq),0.198290701458493
normal,NUTS,step 1,-,MSJD,230.26440202878203
normal,ST,step 1,S,Leapfrog Steps,1029.0
normal,ST,step 1,S,RMSE (param),0.123175866557668
normal,ST,step 1,S,RMSE (param sq),0.2866225241486091
normal,ST,step 1,S,MSJD,171.577750021172
normal,ST,step 1,M,Leapfrog Steps,939.0
normal,ST,step 1,M,RMSE (param),0.09347762232189
normal,ST,step 1,M,RMSE (param sq),0.30505101818299285
normal,ST,step 1,M,MSJD,220.50526935702473
normal,ST,step 1,L,Leapfrog Steps,828.0
normal,ST,step 1,L,RMSE (param),0.045377453070501395
normal,ST,step 1,L,RMSE (param sq),0.6167632565471454
normal,ST,step 1,L,MSJD,385.4957273756904
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.08137746939540325
normal,NUTS,step 1,-,RMSE (param sq),0.20358139213794726
normal,NUTS,step 1,-,MSJD,244.4692499529344
normal,ST,step 1,S,Leapfrog Steps,992.0
normal,ST,step 1,S,RMSE (param),0.08103975234150873
normal,ST,step 1,S,RMSE (param sq),0.30443319447140743
normal,ST,step 1,S,MSJD,207.12952680372598
normal,ST,step 1,M,Leapfrog Steps,919.0
normal,ST,step 1,M,RMSE (param),0.06358067599719516
normal,ST,step 1,M,RMSE (param sq),0.3406581280172653
normal,ST,step 1,M,MSJD,277.4984838805276
normal,ST,step 1,L,Leapfrog Steps,839.0
normal,ST,step 1,L,RMSE (param),0.05874734069250761
normal,ST,step 1,L,RMSE (param sq),0.5726549118236076
normal,ST,step 1,L,MSJD,320.29817596134865
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.09401581950841936
normal,NUTS,step 1,-,RMSE (param sq),0.21286324660391373
normal,NUTS,step 1,-,MSJD,243.63745692398106
normal,ST,step 1,S,Leapfrog Steps,1043.0
normal,ST,step 1,S,RMSE (param),0.121589278494788
normal,ST,step 1,S,RMSE (param sq),0.2710333771979132
normal,ST,step 1,S,MSJD,173.55355160113825
normal,ST,step 1,M,Leapfrog Steps,916.0
normal,ST,step 1,M,RMSE (param),0.08107982794250404
normal,ST,step 1,M,RMSE (param sq),0.29916256973205646
normal,ST,step 1,M,MSJD,287.949688197165
normal,ST,step 1,L,Leapfrog Steps,820.0
normal,ST,step 1,L,RMSE (param),0.06973540503723684
normal,ST,step 1,L,RMSE (param sq),0.6590312005932047
normal,ST,step 1,L,MSJD,377.06538653133885
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.07690262525844739
normal,NUTS,step 1,-,RMSE (param sq),0.21517389433809858
normal,NUTS,step 1,-,MSJD,256.5897223916866
normal,ST,step 1,S,Leapfrog Steps,1034.0
normal,ST,step 1,S,RMSE (param),0.10006628980200974
normal,ST,step 1,S,RMSE (param sq),0.24967299813160593
normal,ST,step 1,S,MSJD,190.20392692105827
normal,ST,step 1,M,Leapfrog Steps,935.0
normal,ST,step 1,M,RMSE (param),0.05388644123107768
normal,ST,step 1,M,RMSE (param sq),0.28142510364979284
normal,ST,step 1,M,MSJD,261.0846979836813
normal,ST,step 1,L,Leapfrog Steps,839.0
normal,ST,step 1,L,RMSE (param),0.04410731717255056
normal,ST,step 1,L,RMSE (param sq),0.5268576729088196
normal,ST,step 1,L,MSJD,326.1698296432833
normal,NUTS,step 1,-,Leapfrog Steps,700.0
normal,NUTS,step 1,-,RMSE (param),0.07097050499746944
normal,NUTS,step 1,-,RMSE (param sq),0.19690491634092763
normal,NUTS,step 1,-,MSJD,240.91865869517056
normal,ST,step 1,S,Leapfrog Steps,1013.0
normal,ST,step 1,S,RMSE (param),0.1046763422689525
normal,ST,step 1,S,RMSE (param sq),0.32147731768556537
normal,ST,step 1,S,MSJD,181.68930943831936
normal,ST,step 1,M,Leapfrog Steps,930.0
