stepsize,val_type,binom_prob,sampler,model,mean_val,std_val
step 1,Leapfrog Steps,-,NUTS,arK,2219.1,75.82104970882014
step 1,Leapfrog Steps,-,NUTS,arma,921.5,46.1205514186235
step 1,Leapfrog Steps,-,NUTS,corr-normal,12181.6,335.55459199737714
step 1,Leapfrog Steps,-,NUTS,eight-schools,855.55,32.182930656499025
step 1,Leapfrog Steps,-,NUTS,garch,1245.2,78.67695442691422
step 1,Leapfrog Steps,-,NUTS,glmm-poisson,50344.8,508.45085670516056
step 1,Leapfrog Steps,-,NUTS,hmm,3736.3,278.92672118223743
step 1,Leapfrog Steps,-,NUTS,ill-normal,51087.2,57.243340223995574
step 1,Leapfrog Steps,-,NUTS,irt-2pl,6235.7,55.14774414434854
step 1,Leapfrog Steps,-,NUTS,lotka-volterra,2953.1,138.14633736120476
step 1,Leapfrog Steps,-,NUTS,normal,700.0,0.0
step 1,Leapfrog Steps,-,NUTS,normal-mixture,1134.9,53.14320276385316
step 1,Leapfrog Steps,-,NUTS,pkpd,1246.4,92.48977183849487
step 1,Leapfrog Steps,-,NUTS,prophet,77116.0,1611.010536082375
step 1,Leapfrog Steps,L,ST,arK,2255.9,178.26381986730863
step 1,Leapfrog Steps,L,ST,arma,1067.65,115.4603030437188
step 1,Leapfrog Steps,L,ST,corr-normal,8093.6,363.0236181964213
step 1,Leapfrog Steps,L,ST,eight-schools,974.05,71.01063481204949
step 1,Leapfrog Steps,L,ST,garch,1329.45,222.81700657950827
step 1,Leapfrog Steps,L,ST,glmm-poisson,36662.45,438.69777092039857
step 1,Leapfrog Steps,L,ST,hmm,3693.9,911.0688864128078
step 1,Leapfrog Steps,L,ST,ill-normal,42054.75,541.4025523436444
step 1,Leapfrog Steps,L,ST,irt-2pl,4293.0,49.51979933638452
step 1,Leapfrog Steps,L,ST,lotka-volterra,3010.85,230.00830076554328
step 1,Leapfrog Steps,L,ST,normal,829.8,7.316887460202121
step 1,Leapfrog Steps,L,ST,normal-mixture,1174.0,86.03120608856202
step 1,Leapfrog Steps,L,ST,pkpd,1132.4,255.14544871504177
step 1,Leapfrog Steps,L,ST,prophet,53791.25,490.8296815757874
step 1,Leapfrog Steps,M,ST,arK,2315.85,104.16751438251562
step 1,Leapfrog Steps,M,ST,arma,1102.0,45.814270357837785
step 1,Leapfrog Steps,M,ST,corr-normal,8474.8,277.8245565289835
step 1,Leapfrog Steps,M,ST,eight-schools,1127.4,85.83311177467047
step 1,Leapfrog Steps,M,ST,garch,1550.65,110.84615939504434
step 1,Leapfrog Steps,M,ST,glmm-poisson,40799.3,748.8116972208283
step 1,Leapfrog Steps,M,ST,hmm,4272.4,418.1859822967212
step 1,Leapfrog Steps,M,ST,ill-normal,46564.3,875.688426926285
step 1,Leapfrog Steps,M,ST,irt-2pl,4764.4,131.95030962648897
step 1,Leapfrog Steps,M,ST,lotka-volterra,3172.45,169.03518008173083
step 1,Leapfrog Steps,M,ST,normal,921.95,11.394712531881183
step 1,Leapfrog Steps,M,ST,normal-mixture,1240.25,43.75875852179102
step 1,Leapfrog Steps,M,ST,pkpd,1630.6,282.83813485157157
step 1,Leapfrog Steps,M,ST,prophet,59478.35,979.2499425580747
step 1,Leapfrog Steps,S,ST,arK,2600.95,110.84672917330958
step 1,Leapfrog Steps,S,ST,arma,1183.3,39.911876612567866
step 1,Leapfrog Steps,S,ST,corr-normal,9765.45,492.9172531176534
step 1,Leapfrog Steps,S,ST,eight-schools,1185.55,74.29564987092847
step 1,Leapfrog Steps,S,ST,garch,1646.7,139.2506637988525
step 1,Leapfrog Steps,S,ST,glmm-poisson,49334.95,1014.071391393182
step 1,Leapfrog Steps,S,ST,hmm,4674.75,309.13885059527604
step 1,Leapfrog Steps,S,ST,ill-normal,56241.6,1330.063053511293
step 1,Leapfrog Steps,S,ST,irt-2pl,5648.2,144.7795420267439
step 1,Leapfrog Steps,S,ST,lotka-volterra,3507.75,170.86894793502148
step 1,Leapfrog Steps,S,ST,normal,1021.15,17.974470199351344
step 1,Leapfrog Steps,S,ST,normal-mixture,1385.8,69.28400742025914
step 1,Leapfrog Steps,S,ST,pkpd,1778.6,269.08781583635283
step 1,Leapfrog Steps,S,ST,prophet,71514.55,1199.7180140174157
step 1,MSJD,-,NUTS,arK,0.05083456751357039,0.007822817893789073
step 1,MSJD,-,NUTS,arma,0.005911336876235963,0.001034511866429547
step 1,MSJD,-,NUTS,corr-normal,553.0016668950249,39.99906408122767
step 1,MSJD,-,NUTS,eight-schools,465.7151625818348,62.92365927037747
step 1,MSJD,-,NUTS,garch,0.47837949015449643,0.10230568508447534
step 1,MSJD,-,NUTS,glmm-poisson,0.34871707506075306,0.035677554815023944
step 1,MSJD,-,NUTS,hmm,0.1358494300764335,0.023911540849641474
step 1,MSJD,-,NUTS,ill-normal,51953.76806489464,2370.5163843507407
step 1,MSJD,-,NUTS,irt-2pl,96.89382560619431,5.357834645655186
step 1,MSJD,-,NUTS,lotka-volterra,17.927905325845785,3.268415371936191
step 1,MSJD,-,NUTS,normal,260.3598829244351,15.241973828314487
step 1,MSJD,-,NUTS,normal-mixture,0.014251042152819698,0.0026623622185048485
step 1,MSJD,-,NUTS,pkpd,8.6458794506931,10.049853765916403
step 1,MSJD,-,NUTS,prophet,0.430310297855885,0.026956241209545723
step 1,MSJD,L,ST,arK,0.03536604703962607,0.026518538727761068
step 1,MSJD,L,ST,arma,0.005180050845386823,0.0031485080193773083
step 1,MSJD,L,ST,corr-normal,208.13172391226254,99.22937721692433
step 1,MSJD,L,ST,eight-schools,378.2075839883885,111.57008546586061
step 1,MSJD,L,ST,garch,0.36369993364362657,0.2550980295287096
step 1,MSJD,L,ST,glmm-poisson,0.20246348623550814,0.04878104237457915
step 1,MSJD,L,ST,hmm,0.060627677348728745,0.08264090369006452
step 1,MSJD,L,ST,ill-normal,30493.192499792716,6771.5895350587225
step 1,MSJD,L,ST,irt-2pl,78.44599262007736,12.110211899966526
step 1,MSJD,L,ST,lotka-volterra,6.878002951540916,6.569466993489788
step 1,MSJD,L,ST,normal,333.264421985435,42.58626827259446
step 1,MSJD,L,ST,normal-mixture,0.012079013437215562,0.008058432908210735
step 1,MSJD,L,ST,pkpd,5.385935673086082,19.575437010726233
step 1,MSJD,L,ST,prophet,0.37107057101579954,0.05777900538869143
step 1,MSJD,M,ST,arK,0.04782417260150708,0.01593556554343469
step 1,MSJD,M,ST,arma,0.006353232050045958,0.0024537462199062765
step 1,MSJD,M,ST,corr-normal,282.806167609892,56.34942330549697
step 1,MSJD,M,ST,eight-schools,363.8096220577538,53.77110862223854
step 1,MSJD,M,ST,garch,0.463858420635782,0.19985503051255635
step 1,MSJD,M,ST,glmm-poisson,0.2574748597328226,0.029895039184487947
step 1,MSJD,M,ST,hmm,0.08526697800147187,0.03711101132543566
step 1,MSJD,M,ST,ill-normal,40675.63997732907,2995.6181817432016
step 1,MSJD,M,ST,irt-2pl,77.05509014767637,6.543625174356563
step 1,MSJD,M,ST,lotka-volterra,11.393757043336278,3.7266000663377885
step 1,MSJD,M,ST,normal,264.05258785046806,21.41124850951912
step 1,MSJD,M,ST,normal-mixture,0.011664188101222588,0.0031733578303233694
step 1,MSJD,M,ST,pkpd,28.993084116350264,62.741944266760115
step 1,MSJD,M,ST,prophet,0.37969483604144527,0.04105099174540218
step 1,MSJD,S,ST,arK,0.03344589206942696,0.00809423299590303
step 1,MSJD,S,ST,arma,0.005212536645635116,0.0015708757786900218
step 1,MSJD,S,ST,corr-normal,261.87231799128364,41.25174332069518
step 1,MSJD,S,ST,eight-schools,324.7211125884802,55.538884726375464
step 1,MSJD,S,ST,garch,0.3562121127761621,0.1237337633887139
step 1,MSJD,S,ST,glmm-poisson,0.18217829840038802,0.0234478800621178
step 1,MSJD,S,ST,hmm,0.09063852725659147,0.02828702262435053
step 1,MSJD,S,ST,ill-normal,28071.881424524552,2677.1214223483144
step 1,MSJD,S,ST,irt-2pl,55.206412698069755,5.703100249467913
step 1,MSJD,S,ST,lotka-volterra,11.615926979397386,2.7919205825996096
step 1,MSJD,S,ST,normal,192.74850987085185,18.333205931712186
step 1,MSJD,S,ST,normal-mixture,0.012692407628584803,0.002536918794896356
