model,sampler,stepsize,binom_prob,val_type,val
normal,NUTS,step 1,-,Leapfrog Steps,1500.0
normal,NUTS,step 1,-,RMSE (param),0.053449174038801874
normal,NUTS,step 1,-,RMSE (param sq),0.2633764691113786
normal,NUTS,step 1,-,MSJD,1569.17101497233
normal,ST,step 1,S,Leapfrog Steps,1385.0
normal,ST,step 1,S,RMSE (param),0.13590965448515369
normal,ST,step 1,S,RMSE (param sq),0.2806387752174182
normal,ST,step 1,S,MSJD,773.2747292517457
normal,ST,step 1,M,Leapfrog Steps,1312.0
normal,ST,step 1,M,RMSE (param),0.10557196656630378
normal,ST,step 1,M,RMSE (param sq),0.268857977301983
normal,ST,step 1,M,MSJD,1023.4787188067269
normal,ST,step 1,L,Leapfrog Steps,1210.0
normal,ST,step 1,L,RMSE (param),0.07410456664517688
normal,ST,step 1,L,RMSE (param sq),0.2800240116882775
normal,ST,step 1,L,MSJD,1311.8010059902733
normal,ST,step 1,XL,Leapfrog Steps,1092.0
normal,ST,step 1,XL,RMSE (param),0.055467006318780106
normal,ST,step 1,XL,RMSE (param sq),0.44550240828408066
normal,ST,step 1,XL,MSJD,1487.089417369378
normal,NUTS,step 1,-,Leapfrog Steps,1500.0
normal,NUTS,step 1,-,RMSE (param),0.06067690867650146
normal,NUTS,step 1,-,RMSE (param sq),0.2615280334502874
normal,NUTS,step 1,-,MSJD,1483.3399880121938
normal,ST,step 1,S,Leapfrog Steps,1369.0
normal,ST,step 1,S,RMSE (param),0.10032480086634006
normal,ST,step 1,S,RMSE (param sq),0.283368964095485
normal,ST,step 1,S,MSJD,834.2776893211283
normal,ST,step 1,M,Leapfrog Steps,1256.0
normal,ST,step 1,M,RMSE (param),0.09596814415450002
normal,ST,step 1,M,RMSE (param sq),0.2795333129411098
normal,ST,step 1,M,MSJD,997.7618734437735
normal,ST,step 1,L,Leapfrog Steps,1205.0
normal,ST,step 1,L,RMSE (param),0.0866868205940095
normal,ST,step 1,L,RMSE (param sq),0.33026260888180825
normal,ST,step 1,L,MSJD,1178.7221351261223
normal,ST,step 1,XL,Leapfrog Steps,1104.0
normal,ST,step 1,XL,RMSE (param),0.04928278123032255
normal,ST,step 1,XL,RMSE (param sq),0.42631853169252815
normal,ST,step 1,XL,MSJD,1641.9978756041712
normal,NUTS,step 1,-,Leapfrog Steps,1500.0
normal,NUTS,step 1,-,RMSE (param),0.05919745504537758
normal,NUTS,step 1,-,RMSE (param sq),0.23002275517661455
normal,NUTS,step 1,-,MSJD,1421.3735311795979
normal,ST,step 1,S,Leapfrog Steps,1330.0
normal,ST,step 1,S,RMSE (param),0.09060341317934135
normal,ST,step 1,S,RMSE (param sq),0.3274989065178594
normal,ST,step 1,S,MSJD,979.0899788196539
normal,ST,step 1,M,Leapfrog Steps,1323.0
normal,ST,step 1,M,RMSE (param),0.0954123425129828
normal,ST,step 1,M,RMSE (param sq),0.2614851432302982
normal,ST,step 1,M,MSJD,926.6311615705615
normal,ST,step 1,L,Leapfrog Steps,1242.0
normal,ST,step 1,L,RMSE (param),0.09062185984324356
normal,ST,step 1,L,RMSE (param sq),0.30259368983956936
normal,ST,step 1,L,MSJD,1033.71171623681
normal,ST,step 1,XL,Leapfrog Steps,1083.0
normal,ST,step 1,XL,RMSE (param),0.04669359063466711
normal,ST,step 1,XL,RMSE (param sq),0.46540361367640226
normal,ST,step 1,XL,MSJD,1512.747207521833
normal,NUTS,step 1,-,Leapfrog Steps,1500.0
